artist.name,duration,tempo,title,year
John Hammond,195.3171,123.14200000000001,I Can't Be Satisfied,2002
Casiotone For The Painfully Alone,175.72526000000002,141.91899999999998,Nashville Parthenon,2006
Ec8or,217.23382999999998,95.596,Cocain Ducks,1995
The New York Dolls,344.05832000000004,154.953,Human Being,1974
Eliane Elias,251.42812,86.09100000000001,The More I See You,2009
Lost Boyz,269.7922,90.21799999999999,Certain Things We Do,1997
The Germs,206.05342,133.144,Forming,1977
Yamandu Costa,190.04036000000002,205.317,MafuA!,0
Chris Rea,241.162,180.149,Driving Home For Christmas,1986
Perrey And Kingsley,122.64443999999999,102.538,Spooks In Space,1966
Eurythmics,207.0722,84.164,Tous Les GarASSons Et Les Filles,1985
Francis Dunnery,300.79955,124.175,Too Much Saturn,1995
John Cale,228.46649,137.004,Movement 4 [from Kiss] (Album Version),1997
Suzanne Ciani,239.59465,106.33,Stream,0
Vickie Winans,228.93669,107.961,Make Me Over,0
The Berzerker,165.61587,174.287,Deform (live),2000
Kings Of Leon,187.92444,116.823,Wicker Chair,2003
Edith Lefel,276.50567,101.97200000000001,An ti chans',0
Taras,200.25423999999998,127.97,I Will Love Again (JJ's Club Radio),0
NOFX,144.50893,152.622,Stickin In My Eye,1992
Murskahumppa,285.17832000000004,110.787,Ota kiinni,0
Soda Stereo,246.69995,112.90299999999999,Entre CanAbales,1990
Bruce Rowland,84.03546,115.64200000000001,Rosemary Recalls,1985
Xcultures,273.52771,125.01299999999999,Sudanese Dance,2000
White Heart,298.84036000000003,113.277,Where The Thunder Roars (Tales Of Wonder Album Version),0
Heavy D / McGruff,161.38404,96.979,Wanna Be A Player,1997
Van Halen,209.29261,140.995,Panama (Remastered Album Version),0
Black Eyed Peas,229.61587000000003,105.206,Let's Get It Started,2004
Nine Inch Nails,426.89261,63.016999999999996,Metal,2000
Nick Cave & The Bad Seeds,269.26975,144.60299999999998,She Fell Away (2009 Digital Remaster),0
Nadine Renee,249.41669,167.92,Next Time,0
Lesley Gore,136.48934,129.122,It's My Party,1963
Smartbomb,233.27302000000003,132.02200000000002,Complicate It,2001
Suburbs,187.24526,183.92,Monde De Fou,2005
Emperor,72.61995,89.867,Opus a Satana (Part 2),0
Julien Clerc,272.63955,119.896,This Melody (Live),0
Glen Campbell,142.75873,137.29,I'm Gone This Time,0
T.G. Sheppard,194.11546,82.34299999999999,You Feel Good All Over,2002
Slim Whitman,195.91791,91.48700000000001,Indian Love Call,1990
Savage Garden,118.33424,84.69,You Can Still Be Free,1999
Queens Of The Stone Age,288.41751,115.60600000000001,I Never Came,2005
Hank Penny & The Lincoln Penny Orchestra,123.21914,126.523,Dixie,0
Inspiral Carpets,283.76771,113.677,Commercial Reign,1990
Borialis,239.3073,86.93799999999999,Hourglass,0
The Dirty Skirts,206.75873,141.936,Wake,0
Flor Silvestre,134.81751,106.04899999999999,Caricia Y Herida,0
BA(c)zu,285.64853,126.88,Le tortillard,0
Redman,124.18567,85.008,WKYA (drop),2001
Solistiyhtye Suomi,134.08608,133.69899999999998,TerA$?slintu,0
Eddie Cantor,155.61098,118.975,Now's The Time To Fall In Love,0
Schizoid,275.40853,102.40799999999999,Grim Prospects (Gross Prospects - Bad Trip Remix),0
Kai Winding,223.4771,112.006,Mangos,1961
Sonny Simmons,443.24526,45.527,A Distant Voice,0
Mira,177.81506000000002,85.62100000000001,Openbare Weg,2006
Citizen Kaned,385.33179,108.061,President Johnson,2000
The Brooklyn Tabernacle Choir,324.44036,216.195,Lead Me Lord,1995
Ellen McIlwaine,275.12118,132.428,Spontanous Combustion,0
Vince Guaraldi / Bola Sete,294.66077,168.30700000000002,Choro,0
Maurice Chevalier,193.20118,140.95600000000002,Ma Louise,0
Carl Cox Vs Yousef,357.82485,130.016,I Want You (Forever),1991
Organized Konfusion,198.3473,175.769,Hate,1997
Martina McBride,261.95546,100.194,I Can't Stop Loving You,2005
Horace Andy,176.27383,151.911,Thank You Lord,1985
Nazz,220.89097999999998,119.691,How Can You Call That Beautiful (Stewkey Vocal),0
Tyrone Davis,235.91137999999998,161.976,Cheatin' In The Next Room,0
Hot Tuna,239.59465,172.398,Candy Man,1971
Richard Burton,171.49342,109.823,I See The Boys Of Summer,0
Rory Block,266.05669,90.101,Three Is a Crowd,0
Boyz II Men,329.27302000000003,116.473,On Bended Knee,1994
Howard Armstrong,198.922,126.821,My Four Reasons,0
Donny Hathaway,283.21914,111.191,Little Girl (LP Version),1971
Miguel Gallardo,238.68036,125.508,Eternamente Amame,0
Les Ogres De Barback,254.06649,137.888,Niev nietch nievitch,1999
DJ X-Change featuring DJ Joey A,184.31955,150.012,Come Over,0
Morel,311.40526,108.367,Blue Taxi,0
Tony Joe White,162.53342,173.482,I Want Love (Tween You & Me) (Album Version),0
Wolfmother,212.37506000000002,110.745,White Feather,2009
The Roches,338.33751,130.02700000000002,Christlike Roche,1995
Bob Margolin,126.51057,110.16799999999999,You Rascal You,0
Thomas Battenstein,205.58321999999998,97.976,Sympathy,0
Jupiter Rising,193.4624,119.979,They Say (Album),2007
Dharma Bums,127.4771,156.968,Simon's Folly,0
Saafir,234.762,188.886,Crawl Before You Ball (Album Version),1999
The Verve Pipe,292.8322,133.306,Medicate Myself,2001
Bob Neuwirth,241.10975,152.267,Biding Her Time,1990
Marvin Sapp,270.68036,166.275,More And More  (LP Version),0
James Hunter,188.73424,114.971,Cowboy Ways,0
Nelson Ned,211.80036,144.651,Brasas Vivas,0
Mish Mash,254.32771,152.005,Kolomeyke,0
Cama,210.36362999999997,155.07399999999998,In This Life,2009
Maxi Priest,301.81832,61.971000000000004,Groovin' In The Midnight,1991
Porcupine Tree,416.80933999999996,124.04,Waiting,1997
Ragheb Alama,413.36118,191.196,A'chek Ouyounik (2009 Digital Remaster),0
Foo Fighters,117.00200000000001,152.127,Hell,2005
Shakira Featuring Wyclef Jean,217.36444,100.023,Hips Don't Lie (featuring Wyclef Jean),0
The Avengers,122.72281000000001,192.688,Juoksuhauta-twist (ElA$?mA$? juoksuhaudoissa),0
Robben Ford,203.98975,154.322,I Got Over It (Album Version),1988
Brazilian Tropical Orchestra,192.44363,236.00599999999997,One Less Bell To Answer,0
Gil Semedo,285.36118,150.666,Festa,0
Soda Stereo,225.12281000000002,175.421,Te Hacen Falta Vitaminas,1984
Xmilk,123.66322,104.15299999999999,Sense And Trick,0
Dolce; Oscar G.,525.16526,127.27799999999999,Fire (Oscar G Space Vocal Mix),0
Britt Nicole,204.06812,160.165,Hanging On (Medium Key Performance Track Without Background Vocals),0
Schizoid,166.00771,86.09100000000001,Grim Prospects (Version 2 Remix),0
Toni Braxton Featuring Shaggy,219.01016,149.94,Christmas In Jamaica,2001
Perrey And Kingsley,127.9473,135.78,Gossippo Perpetuo,2001
Sven Tasnadi,570.90567,122.96700000000001,2190 Dias Contigo,0
Eddie,230.00771,142.024,No Control,0
Enthroned,240.74403999999998,135.535,The Vitalized Shell,2010
Suzanne Ciani,192.20853,139.189,Mozart,1989
Milan Band,152.0322,128.59799999999998,Ciao Milan,0
Johnny Osbourne,215.30077000000003,163.445,Lend Me Your Chopper,2004
Dolly Parton,155.21913999999998,114.027,Letter To Heaven,1971
Rance Allen Group,207.12444,111.316,Heaven is Where The Heart Is,0
Pearl Jam,428.56444000000005,105.994,Inside Job,2006
Natalie Cole,185.7824,88.48899999999999,Take A Look  (LP Version),0
Mastodon,654.28853,118.43299999999999,The Czar: Usurper/Escape/Martyr/Spiral (Album Version),2009
Kiril Valeri,306.72934,96.007,Bulgarian Dream,0
Word,229.51137999999997,187.80700000000002,Amalgama,0
DJ Quik,205.58321999999998,181.115,Born and Raised In Compton,1991
Hank Locklin,127.05913999999999,148.357,We're Gonna Go Fishin',0
BT,44.35546,136.164,Robbers Kill Cop,0
2-4 Grooves feat. Reki D.,203.83302,126.941,Relax,2009
The Jordanaires,176.50893,159.582,Sweet By And By,0
Descendents,140.66893000000002,89.495,Orgofart,1986
L.A. Guns,201.09016,102.259,Bitch Is Back,1988
Bare Jr.,254.79791,107.529,Naked Albino,1998
Shelley Fabares,143.0722,99.40799999999999,Johnny Loves Me (LP Version),0
Norrie Paramor,163.49995,79.73100000000001,Dearly Beloved,0
Gary Hobbs,289.64526,188.502,The Look Of Love,0
Diesel Boy,124.15955,133.72899999999998,Cooler Than You,1998
Angelo Badalamenti,167.3922,139.136,Taryns Deepest Fear,0
Cradle Of Filth,321.35791,193.69299999999998,Summer Dying Fast,1994
Jim Chappell,263.94077000000004,76.693,Still,0
Ladybug,341.36771,126.95,Snapshot,0
Bandido,333.13914,144.812,End Of The Road (Head Hornys Remix),0
Brixx,349.12608,138.003,7 Miles,0
Nine Inch Nails,168.56771,130.284,The Frail,1999
Susana Seivane,350.71955,152.013,Para Milladoiro,2010
Leland Martin,175.62077,159.968,Stone Cold Fingers (Bonus Track),0
Test Icicles,190.24934,75.031,Snowball,2005
Heaven 17,255.16362999999998,150.83700000000002,(We Don't Need This) Fascist Groove Thang,1981
React,120.2673,143.231,Drunk Alone,0
Sven Tasnadi,557.26975,123.993,Charisma,0
Mance Lipscomb,187.53261,97.98100000000001,Going Down Slow,2000
Scott Wesley Brown,295.60118,137.28799999999998,All Rise,0
FlA!vio JosA(c),252.02892999999997,168.32299999999998,Jogo Limpo,0
Moss,329.35138,111.079,Silent Hill,2009
Pery Ribeiro,180.00933999999998,133.009,Our Love Is Here To Stay,0
Soular,244.45342000000002,146.577,Everything Changes,0
Dimmu Borgir,282.53995,140.458,Master Of Disharmony,1996
Public Image Ltd,388.28362999999996,132.506,(This Is Not A) Love Song (Live),1983
Gary Moore,345.93914,153.862,What Are We Here For,1997
Pascal Sangla,243.1473,93.238,Une petite pause,2010
The B-52's,261.74649,124.086,Wig,1986
Dakis,172.25098,66.765,Perasmena Mesanihta,0
Sex Pistols,216.60689,145.518,God Save the Queen (Live),1988
Chris Brown,363.59791,139.998,Forever,0
Deekline & Wizard,271.77751,90.648,Sun Is Shining,2004
Daniela DessA!,330.65751,140.334,New Age,0
Hem,133.27628,89.86,Have Yourself A Merry Little Christmas,2005
Lily Allen,264.69832,156.097,U Killed It,2006
Pentangle,228.51872999999998,179.50099999999998,Rain And Snow,0
DJ Dips,240.3522,86.689,Gerra De De,0
Ana Bekuta,145.57995,160.261,Kako mi je pitas sad,0
Jason Miles,235.80688999999998,101.03,Voices On The Corner,0
Busdriver,192.1824,155.03799999999998,(Bloody Paw On The) Kill Floor,2007
Byther Smith,418.87302,117.16799999999999,I Wish My Mother Was Here,1989
Bebo & Cigala,198.26893,132.967,Inolvidable,2003
Bizarre Inc,420.10077,139.91,Miracle,1996
Bongzilla,397.26975,95.882,Witch Weed (Live),1999
The Gone Jackals,229.79872999999998,135.175,Not Buried Deep Enough,1995
The Willis Brothers,150.64771000000002,121.98299999999999,Give Me 40 Acres (To Turn This Rig Around),0
Laurindo Almeida / Carlos Barbosa-Lima / Charlie Byrd,286.14485,169.775,Ernesto Nazareth,0
S.U.P,384.70485,137.862,The Cube (Live),2001
Boogie Pimps,415.03302,83.32600000000001,Get Back Down,0
Brian Keane,133.53751,117.667,Battle Of The Rosebud / Cries,0
Aberdeen,266.70975,90.90799999999999,Beyond the Light,0
The Killers,284.3424,151.953,Spaceman,2008
Gloriana,179.06893,161.054,Pulecenella 'e mA2,0
Butterfly Temple,100.5971,159.895,Iskorosten' (instr.),0
Grant Geissman,320.60036,128.219,Big Stax/High Volts (Album Version),0
20/20,302.36689,101.229,It Goes On,0
JosA(c) Augusto,284.70812,98.859,Pecado De Amor,0
Orbital,327.8624,125.975,Illuminate,2001
Bone Thugs-N-Harmony / Akon,286.30159,154.09,Never Forget Me,2007
Moonsorrow,356.49261,124.23700000000001,Ukkosenjumalan poika,2001
N.W.A.,168.75056999999998,97.09899999999999,A B***** Is A B***** (Edited),1989
Rage Against The Machine,201.56036,140.63,Kick Out The Jams,2000
Jazz Gillum,185.67791,101.41,Me And My Buddy,0
Rise Against,218.8273,186.25400000000002,Amber Changing,2003
Ultraviolence,303.04607999999996,210.47,Murder Academy,1995
Korn,224.52200000000002,94.057,Hey Daddy,1999
Sir Neville Marriner,315.27137999999997,100.34899999999999,4 Sea Interludes Op. 33a: Storm,0
Agnes,275.06892999999997,124.009,I Need You Now,0
James Horner,191.81669,90.084,Atmosphere Station,1986
Tantric,177.24036,106.698,Walk Away,2009
Mastodon,233.58649,89.78,Shadows That Move,2001
Xcultures,38.3473,107.177,Smile,2000
The Irish Tenors,100.85831999999999,152.25799999999998,Mountains Of Mourne,0
U2,485.19791,134.083,Kite Live from Sydney,2007
Little Joe,239.01995,106.398,Loco (Crazy),0
Korn,288.49587,160.02200000000002,Ever Be,2007
Blind Blake & The Royal Victoria Hotel Calypsos,151.53587,101.492,Oh Look Misery,0
Percy Faith,160.28689,86.141,Yesterdays,0
Extreme,181.55057,120.09700000000001,Teacher's Pet,0
Alexandre Desplat,70.26893000000001,128.173,Palmer enquAate,2004
Prozak,173.24363,88.835,Go To Hell,0
Jerry Butler,155.74159,105.24,Moon River - Original,0
Yvette Horner,148.03546,162.385,La Plus Bath Des Javas,0
Delta 9,94.06649,109.63600000000001,Infidel,0
Placebo,241.52771,108.264,English Summer Rain,2003
Tam Tam Go!,226.82077,119.524,Spanish Shuffle (Album Version),0
Gertrudis,106.52689,97.76,Intro,2009
Warrior King,224.28689,241.877,Empress So Divine,2002
Soda Stereo,340.29669,91.32799999999999,Terapia De Amor Intensiva,1988
LORE,216.55465,130.062,Haunting,0
Soul Asylum,279.2224,68.734,Lies Of Hate,1998
Carl Doy with NZSO,158.56281,94.65799999999999,The First Noel,0
Horace Andy,234.44852999999998,102.055,Musical Episode,2005
Jimmy Wakely,155.95057,109.065,Beautiful Brown eyes,2001
The Nightraver & The Magican,233.53423999999998,184.981,Drop the Bass,0
Rah Digga (Featuring Outsidaz),256.80933999999996,201.80200000000002,The Last Word (Amended Version),2000
RUN-DMC,234.65751,119.67,Hard Times,1984
Bert Kaempfert And His Orchestra,163.76118,105.181,Just As Much As Ever,0
Hank Locklin,159.03302,165.668,Filipino Baby,0
Lady May,214.04689,188.05599999999998,The Boss,0
Nightwish,301.06077,143.97,Escapist,2007
Angelo Badalamenti,109.37423999999999,61.883,Jeffrey's Dark Side,1987
Frank Chacksfield,151.82322,0.0,Someone to Watch Over Me,0
Cesar Camargo Mariano/Helio Delmiro,287.11138,163.167,Milagre Dos Peixes/ Musica Incidental: Cais/ Music Incidental: San Vicente,0
Buzzhorn,239.98649,144.836,Pinned To The Ground (album version),2002
Silverstein,229.642,108.499,Always And Never (Album Version),2005
!!!,143.98649,193.97799999999998,Myth Takes,2007
The Secret Life of Teenage Girls,153.20771000000002,88.935,Carpe PM,0
The Notorious B.I.G.,316.65587,91.69,Who Shot Ya (Amended Album Version),2007
Led Zeppelin,182.09913999999998,210.8,Poor Tom (Album Version),1982
Sandi Thom,205.21751,82.205,Wounded Hearts,2008
Carl Belew,131.05587,121.56299999999999,Love's Been Good To Me,0
The Field Mice,316.73424,162.68200000000002,When Morning Comes To Town,1989
Billy Higgins_ Bob Berg_ Cedar Walton_ Tony Dumas,431.64689000000004,106.219,Estate,0
Catherine Howe,183.37913999999998,172.33700000000002,Freedom Enough (From Silent Mother Nature),0
Malkit Singh,324.51873,210.305,Hai Shava,1993
Rodney O & Joe Cooley,172.01587,175.393,Nutty Block,1991
Dean Martin,165.66812,128.459,Until You Love Someone,2005
Strata,377.67791,109.671,Part One From Triomusic,2004
James Darren,145.00526000000002,141.024,Hello Young Lovers (LP Version),0
Till West & DJ Delicious,153.28608,125.55799999999999,Same Man,2006
Carlos NuA+-ez,215.35302000000001,211.327,Quiero Ir Ao Mar,2005
Igor Stravinsky,156.70812,147.637,The Owl and the Pussy-cat,0
Gene Clark,168.38485,98.49,Set You Free This Time,1998
Maysa,150.25587,137.673,Bloco Da Solidao (1996 Digital Remaster),0
The Shirelles,159.76443999999998,68.283,Will You Love Me Tomorrow,1960
The American Boychoir,230.26892999999998,0.0,Stille nacht_ heilige nacht,0
JDS,465.60607999999996,134.014,Nine Ways,0
Panic At The Disco,247.77097999999998,85.15700000000001,Northern Downpour (Album Version),0
Jan Howard,165.98158999999998,86.162,Bad Seed,0
Abraham Laboriel,368.16934,93.10600000000001,Exchange,1995
"MichA""le Arnaud",176.27383,49.262,Marie D'Aquitaine,0
Sticky Fingaz,266.4224,80.149,Oh My God,2000
Dame Joan Sutherland / New Philharmonia Orchestra / Richard Bonynge,111.0722,82.42200000000001,Joy To The World,0
The Jeff Healey Band,313.7824,107.197,Hoochie Coochie Man,1989
Angela Dimitriou,265.37751000000003,124.177,Ftei O Erotas,0
Danny Wilson,167.20934,196.03400000000002,The Second Summer Of Love,1989
Lionel Rogg,240.61342000000002,64.40100000000001,Prelude And Fugue In C Major BWV 531 : Fugue,0
Java,356.41424,130.861,Don't Phunk With My Heart,0
SWAMI featuring Asuivre,260.28362999999996,90.008,Give It What U Got,2007
The Black Velvet Band,256.39137999999997,122.17399999999999,Dancing To A Standstill,0
Lisa Lynne,316.49914,95.98100000000001,Isla del Luna,1999
Pe'z,252.57751000000002,75.955,Spirit,0
Shawn Colvin,224.60036000000002,210.87099999999998,Another Long One,1989
Stephy Tang,214.12526,105.196,Leng Jing,0
Casual,259.44771000000003,106.689,OAKtown,0
Backstreet Boys,236.25097999999997,112.787,Larger Than Life,1999
Tiny Tim,43.362809999999996,93.779,I Hold Your Hand In Mine [Live At Royal Albert Hall],2000
Kenny G featuring Daryl Hall,236.93016,89.865,Baby Come To Me,0
Christos Dantis,243.82648999999998,133.339,Den Pai Alo,0
David Martin,241.47546,98.71799999999999,It Wont Be Christmas,0
John Davis,183.17016,74.072,Knocked Out Of The Park,0
Trafik,424.12363,130.006,Salt In NYC,0
Nick Ingman;Gavyn Wright,111.62077,104.39399999999999,Wessex Loses a Bride,0
Eddie Calvert,138.63138,159.58700000000002,Erica (2005 Digital Remaster),0
Glad,270.60200000000003,192.702,Blessed Assurance,1993
Steel Rain,173.19138,98.11,Loaded Like A Gun,0
Los Manolos,218.38322000000002,118.595,Rumba De Barcelona,0
Gloriana,153.33831999999998,143.601,"Clementina SantafA""",0
Bombay Rockers,230.71302000000003,81.319,Wild Rose (Back 2 Basics Mix),0
Jinx,407.37914,89.345,Kutt Free (DJ Volume Remix),0
Chase & Status,337.68444,174.993,Ten Tonne,2005
Tom Petty,236.17261000000002,129.122,A Higher Place (Album Version),1994
Montserrat CaballA(c);Placido Domingo;Vicente Sardinero;Judith Blegen;Sherrill Milnes;Georg Solti,511.16362999999996,86.666,Sono andati? Fingevo di dormire,0
Pucho & His Latin Soul Brothers,338.23302,231.86700000000002,Got My Mojo Workin,0
Soul Mekanik,45.661590000000004,190.69799999999998,Get Your Head Stuck On Your Neck,0
Mitch Ryder,207.43791000000002,97.538,Jenny Take a Ride,2004
Blingtones,29.544040000000003,95.225,Sonnerie lalaleulA(c) hi houuu,0
Luna Orbit Project,335.51628,139.993,Midnight Star,0
Danilo Perez,197.19791,159.233,Native Soul,2003
Line Renaud,152.92036000000002,124.75,Der Kleine Dompfaff,0
King Curtis,326.00771000000003,100.415,A Whiter Shade Of Pale (Live @ Fillmore West),0
Sophie B. Hawkins,305.16200000000003,105.00299999999999,The Ballad Of Sleeping Beauty,1994
Lupe Fiasco,279.97995,110.21799999999999,Streets On Fire (Explicit Album Version),0
Wilks,261.51138,88.973,Music is what we love,0
Marc Shaiman,149.86404,134.566,City Slickers,2008
40 Grit,75.67628,186.882,Intro,2003
Gwen Stefani,290.55955,113.995,Harajuku Girls,2004
Steve Morse,363.85913999999997,90.199,Prognosis,2000
Bitter End,282.43546000000003,111.03200000000001,Living Hell,0
Ethel Merman,135.31383,124.184,Small World,0
Leon Russell & New Grass Revival,221.30892999999998,157.746,Truck Driving Man/Down In The Caribbean,0
Story Of The Year,75.57179000000001,100.03200000000001,Swallow The Knife (Live) (Segue),2005
Natural Elements,338.1024,185.88,Mayday,1998
Lisa Lynne,298.10893,94.031,Lake Of Dreams,1998
Neil Sedaka,170.84036,76.013,Because Of You,1999
Maurice Larcange,215.37913999999998,133.553,Un Peu D'Amour Et D'AmitiA(c),0
A Static Lullaby,213.49832,202.233,Rattlesnake!,2008
John Wesley_ John Wesley,351.08526,133.405,Disappeared,0
Coph Nia,658.02404,116.819,DoppelgA$?nger [Qliphothic Phantasmagoria],2000
Tabu feat. Mitzib,474.61832000000004,127.887,Ain't No Love Ain't No Use (Love To Infinity Full Funk Mix),0
Nights Like These,305.89342,124.87200000000001,Ghost Town Rituals (Album Version),2006
Oasis,301.92281,136.94799999999998,Morning Glory,0
John Davis & Emma Doyle,135.52281000000002,169.878,Rudolph The Red-Nosed Reindeer,0
Stew,179.9571,100.62100000000001,Tomorrow Gone,2003
Jauida,269.76608,101.01,I don't Want to Be Alone Tonight,0
Eddy Arnold,166.16443999999998,157.779,Just A Little Lovin' (Will Go A Long Way),1967
All Time Low,221.67465,91.48299999999999,Shameless,2007
Brian Dullaghan,212.94975,99.109,And I Love You So,0
Richard Galliano,261.74649,76.296,L' Envers Du DA(c)cor,1999
Regina Belle,307.33016000000003,92.67200000000001,Quiet Time,1993
Debbie Davies,225.67137999999997,116.984,Little Sister,1998
STEVE CAMP,296.14975,139.07,Song For Mom (LP Version),0
Jay Tee & Baby Bash,203.67628,98.98299999999999,All Over Me,0
The Stolen Minks,56.424040000000005,123.695,I Hate You,0
Daath,230.86975,97.15100000000001,From The Blind (LP Version),2006
Extasick,134.03383,91.459,Misanthrope,0
UFO,212.61016,116.11,Chains Chains (Live In Hammersmith),0
Avril - Remix By Ana Rago,188.39465,85.28200000000001,The Date (Remix By Ana Rago),2002
Pat Travers,152.99873,140.872,As My Fire Flies,0
SNOWPATROL,233.03791,144.003,We Wish You A Merry Christmas,0
Die Fantastischen Vier,149.99465,120.001,BAPse,1991
Jeanie Lambe & The Danny Moss Quartet,152.0322,168.558,Saturday Night Is The Loneliest Night In The Week,0
Nelson Ned,200.48934,146.061,A Mi No Me Importa,0
Yung Joc,193.64526,174.019,BYOB (Explicit Album Version),2007
Philippe Sarde,158.82404,85.691,"Le PresbytA""re n'a rien perdu de son Charme",0
Orquesta AragA3n,173.68771,92.60600000000001,Ven Morena,2003
Jason Miles,269.40036000000003,163.97,Brighton by the Sea,0
State of Chaos,176.90077,97.619,CHAOS INTRO,0
Dropkick Murphys,196.72771,183.808,Bloody Pig Pile (Live),2002
Taint,281.46893,92.044,Hex Breaker,2009
VHS Or Beta,224.20852999999997,126.806,The Melting Moon (Edit),2004
Leonard Kwan,170.31791,108.912,Hawaiian Chimes,0
True Believers,361.53424,160.731,Turn Around,0
Les Hurlements D'leo,182.04689,104.307,L'accordA(c)oniste,1999
Charanga Forever,367.43791,203.96400000000003,Tumba Tumba,2000
Zuzu Bollin,175.90812,131.683,Why don't you eat where you slept last night ?,0
Bullet For My Valentine,215.53587000000002,188.924,Suffocating Under Words Of Sorrow (What Can I Do),2005
The Hit Factory,234.70975,126.34200000000001,Im Moving On,0
Terry Snyder,340.11383,112.09700000000001,Deep Night/Softly As In A Morning Sunrise (Medley),0
Marcus Miller,280.13669,125.147,Let Me Show You [I Just Want To Make You Smile],1983
Beatnuts,170.52688999999998,87.634,Monster For Music,0
Ayo,212.71465,128.689,Complain,2006
Kid Sister,277.2371,140.026,Daydreaming [Jakwob Remix],2009
Mons Leidvin Takle,120.92036,147.576,Dansende Foran Speilet,0
Public Image Ltd,492.30322,193.56,Ease,1985
Rise Against,260.8322,122.006,Everchanging,2001
Sizzla,203.96363,190.01,Too much informa,2005
Richard Galliano,309.65506,111.663,L'insidieuse (Live),0
Helen Love,81.97179,100.76,So Hot,1994
David Mingyue Liang,757.99465,163.67,Youlan_ Lonely Orchid (solo guqin),0
Pursuit Of Happiness,196.49261,127.29799999999999,Forbidden Fruit,0
Bobby Hutcherson,352.57424,95.633,Recorda-Me,0
Gregory Isaacs,221.83137999999997,160.011,Lady Of Your Calibre,0
The Pharcyde,11.59791,38.233000000000004,Italian For Goodbye (skit),2004
Azis,281.88689,98.15100000000001,Anti Geroi,2006
Amy Winehouse,256.10404,91.198,Stronger Than Me,2003
George Lopez,345.23382999999995,75.467,Only For The Young,2009
Les Hou-Lops,122.69668999999999,103.29,T'as 16 ans demain,0
The Cosmosamatics,338.36363,65.054,Serene,0
Jackie Edwards,256.62649,161.796,So Jah Seh,2006
Michael Card,182.72608,115.258,Joy In The Journey (The Final Word Album Version),0
Richard Galliano,197.17179,230.99200000000002,Chorinho Pra Ele (Live),0
Ensiferum,291.02975,179.988,Warrior's Quest,1999
Leila Chicot,293.27628,90.008,Medley LeA-la Chico,0
The Pharcyde / Big Boy / Schmooche Cat / Randy Mack,334.78485,95.816,The Hustle,1995
